sample_id	study_id	cell_or_tissue
SAMN04090367	SRP034831	brain
SAMN04090366	SRP034831	brain
SAMN04090362	SRP034831	brain
SAMN04090359	SRP034831	brain
SAMN04090363	SRP034831	brain
SAMN04090369	SRP034831	brain
SAMN04090368	SRP034831	brain
SAMN04090372	SRP034831	brain
SAMN04090364	SRP034831	brain
SAMN04090365	SRP034831	brain
SAMN04090357	SRP034831	brain
SAMN04090361	SRP034831	brain
SAMN02566885	SRP034873	breast cancer
SAMN02566886	SRP034873	breast cancer
SAMN02566880	SRP034873	breast cancer
SAMN02566882	SRP034873	breast cancer
SAMN02566883	SRP034873	breast cancer
SAMN02566890	SRP034873	breast cancer
SAMN02566877	SRP034873	breast cancer
SAMN02566891	SRP034873	breast cancer
SAMN02566887	SRP034873	breast cancer
SAMN02566884	SRP034873	breast cancer
SAMN02566878	SRP034873	breast cancer
SAMN02566889	SRP034873	breast cancer
SAMN02566879	SRP034873	breast cancer
SAMN02566881	SRP034873	breast cancer
SAMN02566888	SRP034873	breast cancer
SAMN02566875	SRP034875	retina
SAMN02566859	SRP034875	retina
SAMN02566855	SRP034875	retina
SAMN02566857	SRP034875	retina
SAMN02566851	SRP034875	retina
SAMN02566863	SRP034875	retina
SAMN02566845	SRP034875	retina
SAMN02566867	SRP034875	retina
SAMN02566847	SRP034875	retina
SAMN02566865	SRP034875	retina
SAMN02566849	SRP034875	retina
SAMN02566861	SRP034875	retina
SAMN02566871	SRP034875	retina
SAMN02566853	SRP034875	retina
SAMN02566873	SRP034875	retina
SAMN02566869	SRP034875	retina
SAMN02581463	SRP035316	CD4 T cell
SAMN02581465	SRP035316	CD4 T cell
SAMN02581469	SRP035316	CD4 T cell
SAMN02581468	SRP035316	CD4 T cell
SAMN02581467	SRP035316	CD4 T cell
SAMN02581464	SRP035316	CD4 T cell
SAMN02581462	SRP035316	CD4 T cell
SAMN02581461	SRP035316	CD4 T cell
SAMN02581473	SRP035316	CD4 T cell
SAMN02581472	SRP035316	CD4 T cell
SAMN02585035	SRP035417	neuron
SAMN02585037	SRP035417	neural progenitor cell
SAMN02585036	SRP035417	neural progenitor cell
SAMN02585034	SRP035417	neuron
SAMN02585032	SRP035417	neural progenitor cell
SAMN02585050	SRP035417	neural progenitor cell
SAMN02585033	SRP035417	neural progenitor cell
SAMN02585038	SRP035417	neural progenitor cell
SAMN02592687	SRP035524	frontal cortex
SAMN02592689	SRP035524	frontal cortex
SAMN02592682	SRP035524	frontal cortex
SAMN02592683	SRP035524	frontal cortex
SAMN02592697	SRP035524	frontal cortex
SAMN02592684	SRP035524	frontal cortex
SAMN02592686	SRP035524	frontal cortex
SAMN02592680	SRP035524	frontal cortex
SAMN02592685	SRP035524	frontal cortex
SAMN02592690	SRP035524	frontal cortex
SAMN02592693	SRP035524	frontal cortex
SAMN02592695	SRP035524	frontal cortex
SAMN02592688	SRP035524	frontal cortex
SAMN02592692	SRP035524	frontal cortex
SAMN02592694	SRP035524	frontal cortex
SAMN02592681	SRP035524	frontal cortex
SAMN02592696	SRP035524	frontal cortex
SAMN02630680	SRP036848	prostate
SAMN02630643	SRP036848	prostate
SAMN02630694	SRP036848	prostate
SAMN02630715	SRP036848	prostate
SAMN02630735	SRP036848	prostate
SAMN02630700	SRP036848	prostate
SAMN02630719	SRP036848	prostate
SAMN02630649	SRP036848	prostate
SAMN02630739	SRP036848	prostate
SAMN02630710	SRP036848	prostate
SAMN02630639	SRP036848	prostate
SAMN02630703	SRP036848	prostate
SAMN02630707	SRP036848	prostate
SAMN02630690	SRP036848	prostate
SAMN02630645	SRP036848	prostate
SAMN02630679	SRP036848	prostate
SAMN02630688	SRP036848	prostate
SAMN02630651	SRP036848	prostate
SAMN02630642	SRP036848	prostate
SAMN02630683	SRP036848	prostate
SAMN02630701	SRP036848	prostate
SAMN02630705	SRP036848	prostate
SAMN02630696	SRP036848	prostate
SAMN02630734	SRP036848	prostate
SAMN02630637	SRP036848	prostate
SAMN02630706	SRP036848	prostate
SAMN02630733	SRP036848	prostate
SAMN02630698	SRP036848	prostate
SAMN02630644	SRP036848	prostate
SAMN02630647	SRP036848	prostate
SAMN02630682	SRP036848	prostate
SAMN02630661	SRP036848	prostate
SAMN02630729	SRP036848	prostate
SAMN02630681	SRP036848	prostate
SAMN02630725	SRP036848	prostate
SAMN02630731	SRP036848	prostate
SAMN02630686	SRP036848	prostate
SAMN02630704	SRP036848	prostate
SAMN02630692	SRP036848	prostate
SAMN02630737	SRP036848	prostate
SAMN02630650	SRP036848	prostate
SAMN02630640	SRP036848	prostate
SAMN02630685	SRP036848	prostate
SAMN02630673	SRP036848	prostate
SAMN02630728	SRP036848	prostate
SAMN02630648	SRP036848	prostate
SAMN02630723	SRP036848	prostate
SAMN02630655	SRP036848	prostate
SAMN02630722	SRP036848	prostate
SAMN02630713	SRP036848	prostate
SAMN02630691	SRP036848	prostate
SAMN02630702	SRP036848	prostate
SAMN02630638	SRP036848	prostate
SAMN02630653	SRP036848	prostate
SAMN02630657	SRP036848	prostate
SAMN02630721	SRP036848	prostate
SAMN02630699	SRP036848	prostate
SAMN02630668	SRP036848	prostate
SAMN02630659	SRP036848	prostate
SAMN02630697	SRP036848	prostate
SAMN02630709	SRP036848	prostate
SAMN02630730	SRP036848	prostate
SAMN02630670	SRP036848	prostate
SAMN02630675	SRP036848	prostate
SAMN02630693	SRP036848	prostate
SAMN02630658	SRP036848	prostate
SAMN02630727	SRP036848	prostate
SAMN02630736	SRP036848	prostate
SAMN02630676	SRP036848	prostate
SAMN02630684	SRP036848	prostate
SAMN02630678	SRP036848	prostate
SAMN02630674	SRP036848	prostate
SAMN02630660	SRP036848	prostate
SAMN02630732	SRP036848	prostate
SAMN02630665	SRP036848	prostate
SAMN02630726	SRP036848	prostate
SAMN02630654	SRP036848	prostate
SAMN02630708	SRP036848	prostate
SAMN02630641	SRP036848	prostate
SAMN02630646	SRP036848	prostate
SAMN02630740	SRP036848	prostate
SAMN02630672	SRP036848	prostate
SAMN02630714	SRP036848	prostate
SAMN02640507	SRP037718	endothelial cell
SAMN02640508	SRP037718	endothelial cell
SAMN02640498	SRP037718	endothelial cell
SAMN02640503	SRP037718	endothelial cell
SAMN02640505	SRP037718	endothelial cell
SAMN02640500	SRP037718	endothelial cell
SAMN02642746	SRP037982	liver
SAMN02642743	SRP037982	liver
SAMN02642860	SRP037982	liver
SAMN02642885	SRP037982	liver
SAMN02642889	SRP037982	liver
SAMN02642732	SRP037982	liver
SAMN02642738	SRP037982	liver
SAMN02642750	SRP037982	liver
SAMN02646660	SRP038726	epithelial cell
SAMN02646661	SRP038726	epithelial cell
SAMN02646665	SRP038726	epithelial cell
SAMN02646664	SRP038726	epithelial cell
SAMN02646662	SRP038726	epithelial cell
SAMN02646659	SRP038726	epithelial cell
SAMN02646663	SRP038726	epithelial cell
SAMN02646666	SRP038726	epithelial cell
SAMN02646658	SRP038726	epithelial cell
SAMN02650332	SRP038863	osteoblast
SAMN02650308	SRP038863	osteoblast
SAMN02650305	SRP038863	osteoblast
SAMN02650318	SRP038863	osteoblast
SAMN02650309	SRP038863	osteoblast
SAMN02650317	SRP038863	osteoblast
SAMN02650329	SRP038863	osteoblast
SAMN02650327	SRP038863	osteoblast
SAMN02650323	SRP038863	osteoblast
SAMN02650324	SRP038863	osteoblast
SAMN02650319	SRP038863	osteoblast
SAMN02650304	SRP038863	osteoblast
SAMN02650316	SRP038863	osteoblast
SAMN02650307	SRP038863	osteoblast
SAMN02650306	SRP038863	osteoblast
SAMN02650320	SRP038863	osteoblast
SAMN02650322	SRP038863	osteoblast
SAMN02650303	SRP038863	osteoblast
SAMN02650326	SRP038863	osteoblast
SAMN02650311	SRP038863	osteoblast
SAMN02650325	SRP038863	osteoblast
SAMN02650331	SRP038863	osteoblast
SAMN02650314	SRP038863	osteoblast
SAMN02650328	SRP038863	osteoblast
SAMN02650321	SRP038863	osteoblast
SAMN02650313	SRP038863	osteoblast
SAMN02650333	SRP038863	osteoblast
SAMN02650315	SRP038863	osteoblast
SAMN02650310	SRP038863	osteoblast
SAMN02650312	SRP038863	osteoblast
SAMN02650330	SRP038863	osteoblast
SAMN02671058	SRP039348	fibroblast
SAMN02671036	SRP039348	induced pluripotent stem cell
SAMN02671043	SRP039348	fibroblast
SAMN02671045	SRP039348	fibroblast
SAMN02671048	SRP039348	fibroblast
SAMN02671039	SRP039348	fibroblast
SAMN02671028	SRP039348	fibroblast
SAMN02671047	SRP039348	fibroblast
SAMN02671052	SRP039348	fibroblast
SAMN02671046	SRP039348	fibroblast
SAMN02671054	SRP039348	fibroblast
SAMN02671031	SRP039348	fibroblast
SAMN02671056	SRP039348	fibroblast
SAMN02671044	SRP039348	fibroblast
SAMN02671038	SRP039348	fibroblast
SAMN02671025	SRP039348	fibroblast
SAMN02671040	SRP039348	fibroblast
SAMN02671029	SRP039348	fibroblast
SAMN02671030	SRP039348	fibroblast
SAMN02671051	SRP039348	fibroblast
SAMN02671037	SRP039348	fibroblast
SAMN02671035	SRP039348	induced pluripotent stem cell
SAMN02671032	SRP039348	fibroblast
SAMN02671033	SRP039348	fibroblast
SAMN02671034	SRP039348	fibroblast
SAMN02671026	SRP039348	fibroblast
SAMN02671049	SRP039348	fibroblast
SAMN02671027	SRP039348	fibroblast
SAMN02671287	SRP039359	MCF-7
SAMN02671276	SRP039359	fibroblast
SAMN02671280	SRP039359	fibroblast
SAMN02671273	SRP039359	fibroblast
SAMN02671282	SRP039359	fibroblast
SAMN02671285	SRP039359	MCF-7
SAMN02671281	SRP039359	fibroblast
SAMN02671275	SRP039359	fibroblast
SAMN02671274	SRP039359	fibroblast
SAMN02671306	SRP039361	macrophage
SAMN02671297	SRP039361	macrophage
SAMN02671289	SRP039361	macrophage
SAMN04235807	SRP039361	induced pluripotent stem cell
SAMN04235800	SRP039361	macrophage
SAMN02671301	SRP039361	macrophage
SAMN04235801	SRP039361	macrophage
SAMN02671303	SRP039361	macrophage
SAMN02671288	SRP039361	macrophage
SAMN04235802	SRP039361	macrophage
SAMN02671290	SRP039361	macrophage
SAMN02671291	SRP039361	macrophage
SAMN02671302	SRP039361	macrophage
SAMN02671294	SRP039361	induced pluripotent stem cell
SAMN02671307	SRP039361	macrophage
SAMN04235803	SRP039361	macrophage
SAMN02671309	SRP039361	macrophage
SAMN04235799	SRP039361	macrophage
SAMN02671305	SRP039361	macrophage
SAMN04235805	SRP039361	macrophage
SAMN02671293	SRP039361	induced pluripotent stem cell
SAMN02671308	SRP039361	macrophage
SAMN04235804	SRP039361	macrophage
SAMN02671304	SRP039361	macrophage
SAMN04235806	SRP039361	induced pluripotent stem cell
SAMN02671299	SRP039361	induced pluripotent stem cell
SAMN02671292	SRP039361	induced pluripotent stem cell
SAMN02680118	SRP039694	liver
SAMN02680110	SRP039694	liver
SAMN02680122	SRP039694	liver
SAMN02680111	SRP039694	liver
SAMN02680116	SRP039694	liver
SAMN02680117	SRP039694	liver
SAMN02680119	SRP039694	liver
SAMN02680113	SRP039694	liver
SAMN02687549	SRP039909	osteoblast
SAMN02687556	SRP039909	osteoblast
SAMN02687561	SRP039909	osteoblast
SAMN02687554	SRP039909	osteoblast
SAMN02687546	SRP039909	osteoblast
SAMN02687553	SRP039909	osteoblast
SAMN02689300	SRP040136	breast cancer
SAMN02689299	SRP040136	breast cancer
SAMN02689303	SRP040136	breast cancer
SAMN02689294	SRP040136	breast cancer
SAMN02689296	SRP040136	breast cancer
SAMN02689292	SRP040136	breast cancer
SAMN02689295	SRP040136	breast cancer
SAMN02689298	SRP040136	breast cancer
SAMN02689293	SRP040136	breast cancer
SAMN02689297	SRP040136	breast cancer
SAMN02689302	SRP040136	breast cancer
SAMN02689301	SRP040136	breast cancer
SAMN03031742	SRP040278	embryonic kidney
SAMN03031747	SRP040278	embryonic kidney
SAMN03031746	SRP040278	embryonic kidney
SAMN03031740	SRP040278	embryonic kidney
SAMN03031744	SRP040278	embryonic kidney
SAMN03031741	SRP040278	embryonic kidney
SAMN03031745	SRP040278	embryonic kidney
SAMN03031743	SRP040278	embryonic kidney
SAMN02693056	SRP040418	epithelial cell
SAMN02693064	SRP040418	epithelial cell
SAMN02693074	SRP040418	epithelial cell
SAMN02693050	SRP040418	epithelial cell
SAMN02693060	SRP040418	epithelial cell
SAMN02693070	SRP040418	epithelial cell
SAMN02693075	SRP040418	epithelial cell
SAMN02693051	SRP040418	epithelial cell
SAMN02693049	SRP040418	epithelial cell
SAMN02693069	SRP040418	epithelial cell
SAMN02693076	SRP040418	epithelial cell
SAMN02693048	SRP040418	epithelial cell
SAMN02693057	SRP040418	epithelial cell
SAMN02693062	SRP040418	epithelial cell
SAMN02693065	SRP040418	epithelial cell
SAMN02693068	SRP040418	epithelial cell
SAMN02693055	SRP040418	epithelial cell
SAMN02693053	SRP040418	epithelial cell
SAMN02693067	SRP040418	epithelial cell
SAMN02693052	SRP040418	epithelial cell
SAMN02693077	SRP040418	epithelial cell
SAMN02693059	SRP040418	epithelial cell
SAMN02693066	SRP040418	epithelial cell
SAMN02693058	SRP040418	epithelial cell
SAMN02693073	SRP040418	epithelial cell
SAMN02693072	SRP040418	epithelial cell
SAMN02693063	SRP040418	epithelial cell
SAMN02693061	SRP040418	epithelial cell
SAMN02693054	SRP040418	epithelial cell
SAMN02693071	SRP040418	epithelial cell
SAMN02709071	SRP040622	cerebral cortex
SAMN02709063	SRP040622	cerebral cortex
SAMN02709060	SRP040622	cerebral cortex
SAMN02709064	SRP040622	cerebral cortex
SAMN02709072	SRP040622	cerebral cortex
SAMN02709070	SRP040622	cerebral cortex
SAMN02709066	SRP040622	cerebral cortex
SAMN02709068	SRP040622	cerebral cortex
SAMN02709065	SRP040622	cerebral cortex
SAMN02712440	SRP040745	fibroblast
SAMN02712441	SRP040745	fibroblast
SAMN02712442	SRP040745	fibroblast
SAMN02712437	SRP040745	fibroblast
SAMN02712439	SRP040745	fibroblast
SAMN02712438	SRP040745	fibroblast
SAMN02721100	SRP041008	fibroblast
SAMN02721105	SRP041008	induced pluripotent stem cell
SAMN02721103	SRP041008	induced pluripotent stem cell
SAMN02721111	SRP041008	induced pluripotent stem cell
SAMN02721102	SRP041008	induced pluripotent stem cell
SAMN02721107	SRP041008	induced pluripotent stem cell
SAMN02721108	SRP041008	induced pluripotent stem cell
SAMN02727373	SRP041159	neural progenitor cell
SAMN02727374	SRP041159	neural progenitor cell
SAMN02727362	SRP041159	neural progenitor cell
SAMN02727361	SRP041159	neural progenitor cell
SAMN02727371	SRP041159	neural progenitor cell
SAMN02727356	SRP041159	neural progenitor cell
SAMN02727355	SRP041159	neural progenitor cell
SAMN02727359	SRP041159	neural progenitor cell
SAMN02727363	SRP041159	neural progenitor cell
SAMN02727364	SRP041159	neural progenitor cell
SAMN02727368	SRP041159	neural progenitor cell
SAMN02727366	SRP041159	neural progenitor cell
SAMN02727358	SRP041159	neural progenitor cell
SAMN02727372	SRP041159	neural progenitor cell
SAMN02727360	SRP041159	neural progenitor cell
SAMN02727367	SRP041159	neural progenitor cell
SAMN02727357	SRP041159	neural progenitor cell
SAMN02727369	SRP041159	neural progenitor cell
SAMN02727365	SRP041159	neural progenitor cell
SAMN02727370	SRP041159	neural progenitor cell
SAMN02727835	SRP041179	embryonic stem cell
SAMN02727839	SRP041179	embryonic stem cell
SAMN02727864	SRP041179	embryonic stem cell
SAMN02727846	SRP041179	embryonic stem cell
SAMN02727865	SRP041179	embryonic stem cell
SAMN02727845	SRP041179	embryonic stem cell
SAMN02727868	SRP041179	embryonic stem cell
SAMN02727834	SRP041179	embryonic stem cell
SAMN02727843	SRP041179	embryonic stem cell
SAMN02727854	SRP041179	embryonic stem cell
SAMN02727830	SRP041179	embryonic stem cell
SAMN02727860	SRP041179	embryonic stem cell
SAMN02727853	SRP041179	embryonic stem cell
SAMN02727857	SRP041179	embryonic stem cell
SAMN02727851	SRP041179	embryonic stem cell
SAMN02727838	SRP041179	embryonic stem cell
SAMN02727832	SRP041179	embryonic stem cell
SAMN02727844	SRP041179	embryonic stem cell
SAMN02727837	SRP041179	embryonic stem cell
SAMN02727870	SRP041179	embryonic stem cell
SAMN02727867	SRP041179	embryonic stem cell
SAMN02727833	SRP041179	embryonic stem cell
SAMN02727836	SRP041179	embryonic stem cell
SAMN02727842	SRP041179	embryonic stem cell
SAMN02727856	SRP041179	embryonic stem cell
SAMN02727850	SRP041179	embryonic stem cell
SAMN02727869	SRP041179	embryonic stem cell
SAMN02727866	SRP041179	embryonic stem cell
SAMN02727828	SRP041179	embryonic stem cell
SAMN02727847	SRP041179	embryonic stem cell
SAMN02727849	SRP041179	embryonic stem cell
SAMN02727855	SRP041179	embryonic stem cell
SAMN02727858	SRP041179	embryonic stem cell
SAMN02727831	SRP041179	embryonic stem cell
SAMN02727862	SRP041179	embryonic stem cell
SAMN02727861	SRP041179	embryonic stem cell
SAMN02727859	SRP041179	embryonic stem cell
SAMN02727829	SRP041179	embryonic stem cell
SAMN02727827	SRP041179	embryonic stem cell
SAMN02727848	SRP041179	embryonic stem cell
SAMN02727841	SRP041179	embryonic stem cell
SAMN02727852	SRP041179	embryonic stem cell
SAMN02727863	SRP041179	embryonic stem cell
SAMN02727840	SRP041179	embryonic stem cell
SAMN02729304	SRP041255	bone marrow
SAMN02729305	SRP041255	bone marrow
SAMN02729307	SRP041255	bone marrow
SAMN02729310	SRP041255	bone marrow
SAMN02729311	SRP041255	bone marrow
SAMN02729315	SRP041255	bone marrow
SAMN02729989	SRP041298	osteosarcoma
SAMN02730050	SRP041298	osteosarcoma
SAMN02730038	SRP041298	osteosarcoma
SAMN02730041	SRP041298	osteosarcoma
SAMN02729994	SRP041298	osteosarcoma
SAMN02729968	SRP041298	osteosarcoma
SAMN02729970	SRP041298	osteosarcoma
SAMN02729991	SRP041298	osteosarcoma
SAMN02729978	SRP041298	osteosarcoma
SAMN02730039	SRP041298	osteosarcoma
SAMN02730046	SRP041298	osteosarcoma
SAMN02729979	SRP041298	osteosarcoma
SAMN02729990	SRP041298	osteosarcoma
SAMN02729969	SRP041298	osteosarcoma
SAMN02729986	SRP041298	osteosarcoma
SAMN02729976	SRP041298	osteosarcoma
SAMN02730037	SRP041298	osteosarcoma
SAMN02729971	SRP041298	osteosarcoma
SAMN02729972	SRP041298	osteosarcoma
SAMN02729981	SRP041298	osteosarcoma
SAMN02730032	SRP041298	osteosarcoma
SAMN02730040	SRP041298	osteosarcoma
SAMN02730042	SRP041298	osteosarcoma
SAMN02730045	SRP041298	osteosarcoma
SAMN02729996	SRP041298	osteosarcoma
SAMN02729988	SRP041298	osteosarcoma
SAMN02730044	SRP041298	osteosarcoma
SAMN02730036	SRP041298	osteosarcoma
SAMN02730048	SRP041298	osteosarcoma
SAMN02729987	SRP041298	osteosarcoma
SAMN02729975	SRP041298	osteosarcoma
SAMN02729983	SRP041298	osteosarcoma
SAMN02729993	SRP041298	osteosarcoma
SAMN02729995	SRP041298	osteosarcoma
SAMN02729984	SRP041298	osteosarcoma
SAMN02730031	SRP041298	osteosarcoma
SAMN02730052	SRP041298	osteosarcoma
SAMN02729977	SRP041298	osteosarcoma
SAMN02729974	SRP041298	osteosarcoma
SAMN02729982	SRP041298	osteosarcoma
SAMN02729992	SRP041298	osteosarcoma
SAMN02729980	SRP041298	osteosarcoma
SAMN02730043	SRP041298	osteosarcoma
SAMN02730049	SRP041298	osteosarcoma
SAMN02730047	SRP041298	osteosarcoma
SAMN02730002	SRP041298	osteosarcoma
SAMN02729973	SRP041298	osteosarcoma
SAMN02729985	SRP041298	osteosarcoma
SAMN02731490	SRP041338	B cell
SAMN02731491	SRP041338	B cell
SAMN02731495	SRP041338	B cell
SAMN02731501	SRP041338	B cell
SAMN02731498	SRP041338	B cell
SAMN02731492	SRP041338	B cell
SAMN02731493	SRP041338	B cell
SAMN02731500	SRP041338	B cell
SAMN02731497	SRP041338	B cell
SAMN02731496	SRP041338	B cell
SAMN02731494	SRP041338	B cell
SAMN02731505	SRP041338	B cell
SAMN02731499	SRP041338	B cell
SAMN02731504	SRP041338	B cell
SAMN02731489	SRP041338	B cell
SAMN02731502	SRP041338	B cell
SAMN02731503	SRP041338	B cell
SAMN02732467	SRP041396	epithelial cell
SAMN02732472	SRP041396	epithelial cell
SAMN02732468	SRP041396	epithelial cell
SAMN02732474	SRP041396	epithelial cell
SAMN02732469	SRP041396	epithelial cell
SAMN02732466	SRP041396	epithelial cell
SAMN02732473	SRP041396	epithelial cell
SAMN02732471	SRP041396	epithelial cell
SAMN02732470	SRP041396	epithelial cell
SAMN02739524	SRP041508	fibroblast
SAMN02739526	SRP041508	fibroblast
SAMN02739525	SRP041508	fibroblast
SAMN02739313	SRP041508	fibroblast
SAMN02739312	SRP041508	fibroblast
SAMN02739314	SRP041508	fibroblast
SAMN02739523	SRP041508	fibroblast
SAMN02740804	SRP041538	lung
SAMN02740781	SRP041538	lung
SAMN02740704	SRP041538	lung
SAMN02740663	SRP041538	lung
SAMN02740792	SRP041538	lung
SAMN02740705	SRP041538	lung
SAMN02740698	SRP041538	lung
SAMN02740751	SRP041538	lung
SAMN02740782	SRP041538	lung
SAMN02740811	SRP041538	lung
SAMN02740650	SRP041538	lung
SAMN02740786	SRP041538	lung
SAMN02740835	SRP041538	lung
SAMN02740755	SRP041538	lung
SAMN02740714	SRP041538	lung
SAMN02740651	SRP041538	lung
SAMN02740719	SRP041538	lung
SAMN02740779	SRP041538	lung
SAMN02740815	SRP041538	lung
SAMN02740795	SRP041538	lung
SAMN02740665	SRP041538	lung
SAMN02740679	SRP041538	lung
SAMN02740819	SRP041538	lung
SAMN02740707	SRP041538	lung
SAMN02740797	SRP041538	lung
SAMN02740686	SRP041538	lung
SAMN02740769	SRP041538	lung
SAMN02740833	SRP041538	lung
SAMN02740696	SRP041538	lung
SAMN02740765	SRP041538	lung
SAMN02740685	SRP041538	lung
SAMN02740648	SRP041538	lung
SAMN02740805	SRP041538	lung
SAMN02740798	SRP041538	lung
SAMN02740767	SRP041538	lung
SAMN02740683	SRP041538	lung
SAMN02740799	SRP041538	lung
SAMN02740830	SRP041538	lung
SAMN02740761	SRP041538	lung
SAMN02740736	SRP041538	lung
SAMN02740689	SRP041538	lung
SAMN02740697	SRP041538	lung
SAMN02740832	SRP041538	lung
SAMN02740675	SRP041538	lung
SAMN02740764	SRP041538	lung
SAMN02740709	SRP041538	lung
SAMN02740731	SRP041538	lung
SAMN02740682	SRP041538	lung
SAMN02740734	SRP041538	lung
SAMN02740727	SRP041538	lung
SAMN02740733	SRP041538	lung
SAMN02740757	SRP041538	lung
SAMN02740715	SRP041538	lung
SAMN02740653	SRP041538	lung
SAMN02740749	SRP041538	lung
SAMN02740712	SRP041538	lung
SAMN02740754	SRP041538	lung
SAMN02740777	SRP041538	lung
SAMN02740793	SRP041538	lung
SAMN02740822	SRP041538	lung
SAMN02740721	SRP041538	lung
SAMN02740717	SRP041538	lung
SAMN02740802	SRP041538	lung
SAMN02740726	SRP041538	lung
SAMN02740670	SRP041538	lung
SAMN02740807	SRP041538	lung
SAMN02740768	SRP041538	lung
SAMN02740740	SRP041538	lung
SAMN02740787	SRP041538	lung
SAMN02740739	SRP041538	lung
SAMN02740763	SRP041538	lung
SAMN02740808	SRP041538	lung
SAMN02740732	SRP041538	lung
SAMN02740800	SRP041538	lung
SAMN02740758	SRP041538	lung
SAMN02740729	SRP041538	lung
SAMN02740785	SRP041538	lung
SAMN02740803	SRP041538	lung
SAMN02740762	SRP041538	lung
SAMN02740728	SRP041538	lung
SAMN02740809	SRP041538	lung
SAMN02740703	SRP041538	lung
SAMN02740684	SRP041538	lung
SAMN02740743	SRP041538	lung
SAMN02740710	SRP041538	lung
SAMN02740722	SRP041538	lung
SAMN02740806	SRP041538	lung
SAMN02740667	SRP041538	lung
SAMN02740713	SRP041538	lung
SAMN02740655	SRP041538	lung
SAMN02740752	SRP041538	lung
SAMN02740801	SRP041538	lung
SAMN02740771	SRP041538	lung
SAMN02740660	SRP041538	lung
SAMN02740666	SRP041538	lung
SAMN02740668	SRP041538	lung
SAMN02740783	SRP041538	lung
SAMN02740661	SRP041538	lung
SAMN02740744	SRP041538	lung
SAMN02740735	SRP041538	lung
SAMN02740770	SRP041538	lung
SAMN02740711	SRP041538	lung
SAMN02740708	SRP041538	lung
SAMN02740820	SRP041538	lung
SAMN02740784	SRP041538	lung
SAMN02740693	SRP041538	lung
SAMN02740746	SRP041538	lung
SAMN02740657	SRP041538	lung
SAMN02740829	SRP041538	lung
SAMN02740706	SRP041538	lung
SAMN02740730	SRP041538	lung
SAMN02740814	SRP041538	lung
SAMN02740759	SRP041538	lung
SAMN02740789	SRP041538	lung
SAMN02740817	SRP041538	lung
SAMN02740687	SRP041538	lung
SAMN02740812	SRP041538	lung
SAMN02740699	SRP041538	lung
SAMN02740810	SRP041538	lung
SAMN02740654	SRP041538	lung
SAMN02740716	SRP041538	lung
SAMN02740723	SRP041538	lung
SAMN02740720	SRP041538	lung
SAMN02740678	SRP041538	lung
SAMN02740702	SRP041538	lung
SAMN02740741	SRP041538	lung
SAMN02740834	SRP041538	lung
SAMN02740718	SRP041538	lung
SAMN02740694	SRP041538	lung
SAMN02740676	SRP041538	lung
SAMN02740742	SRP041538	lung
SAMN02740695	SRP041538	lung
SAMN02740724	SRP041538	lung
SAMN02740701	SRP041538	lung
SAMN02740652	SRP041538	lung
SAMN02740836	SRP041538	lung
SAMN02740791	SRP041538	lung
SAMN02740753	SRP041538	lung
SAMN02740827	SRP041538	lung
SAMN02740658	SRP041538	lung
SAMN02740738	SRP041538	lung
SAMN02740673	SRP041538	lung
SAMN02740790	SRP041538	lung
SAMN02740794	SRP041538	lung
SAMN02740756	SRP041538	lung
SAMN02740664	SRP041538	lung
SAMN02740760	SRP041538	lung
SAMN02740649	SRP041538	lung
SAMN02740796	SRP041538	lung
SAMN02740690	SRP041538	lung
SAMN02740766	SRP041538	lung
SAMN02740748	SRP041538	lung
SAMN02740750	SRP041538	lung
SAMN02740700	SRP041538	lung
SAMN02740671	SRP041538	lung
SAMN02740656	SRP041538	lung
SAMN02740788	SRP041538	lung
SAMN02740826	SRP041538	lung
SAMN02740773	SRP041538	lung
SAMN02740737	SRP041538	lung
SAMN02740747	SRP041538	lung
SAMN02740672	SRP041538	lung
SAMN02740691	SRP041538	lung
SAMN02746608	SRP041706	heart
SAMN02746605	SRP041706	heart
SAMN02746609	SRP041706	heart
SAMN02746606	SRP041706	heart
SAMN02746604	SRP041706	heart
SAMN02746607	SRP041706	heart
SAMN02767205	SRP041751	embryonic stem cell
SAMN02767246	SRP041751	embryonic stem cell
SAMN02767253	SRP041751	embryonic stem cell
SAMN02767204	SRP041751	embryonic stem cell
SAMN02767248	SRP041751	embryonic stem cell
SAMN02767238	SRP041751	embryonic stem cell
SAMN02767263	SRP041753	colon cancer
SAMN02767269	SRP041753	colon cancer
SAMN02767261	SRP041753	colon cancer
SAMN02767273	SRP041753	colon cancer
SAMN02767266	SRP041753	colon cancer
SAMN02767271	SRP041753	colon cancer
SAMN02767262	SRP041753	colon cancer
SAMN02767265	SRP041753	colon cancer
SAMN02768424	SRP041826	monocyte
SAMN02768401	SRP041826	monocyte
SAMN02768411	SRP041826	monocyte
SAMN02768426	SRP041826	monocyte
SAMN02768422	SRP041826	monocyte
SAMN02768396	SRP041826	monocyte
SAMN02768399	SRP041826	monocyte
SAMN02768408	SRP041826	monocyte
SAMN02768410	SRP041826	monocyte
SAMN02768421	SRP041826	monocyte
SAMN02768427	SRP041826	monocyte
SAMN02768412	SRP041826	monocyte
SAMN02768391	SRP041826	monocyte
SAMN02768419	SRP041826	monocyte
SAMN02768390	SRP041826	monocyte
SAMN02768400	SRP041826	monocyte
SAMN02768414	SRP041826	monocyte
