"cell_index","species","sample_count","batch_count","normalization","batch","correlation","go_MF_enrichment","go_BP_enrichment","go_CC_enrichment","go_MF_prior","go_BP_prior","go_CC_prior","tfbs_enrichment","tfbs_prior"
18,"human",169,12,"rlog","none","pearson",0.173516996223062,0.332315041101977,0.302766051988447,0.0576538546989558,0.148189291268607,0.147189513441457,0.405076649633415,0.27382803821373
19,"human",163,11,"rlog","none","pearson",0.157410296411856,0.256786271450858,0.281955278211128,0.0474258970358814,0.0999479979199168,0.163598543941758,0.430889235569423,0.317264690587624
20,"human",150,13,"rlog","none","pearson",0.113986943208735,0.190190074527702,0.188341325322087,0.0363394765728812,0.0670171587035646,0.0871800797273095,0.397018891905945,0.303310416546305
21,"human",143,11,"rlog","none","pearson",0.179088238494179,0.325372647154825,0.320694157327821,0.0497769557175498,0.138069850941138,0.154009356979654,0.441573278206942,0.302089000108802
22,"human",135,9,"rlog","none","pearson",0.143583815028902,0.220231213872832,0.19364161849711,0.0427745664739884,0.0787861271676301,0.0832947976878613,0.381098265895954,0.262312138728324
23,"human",135,11,"rlog","none","pearson",0.162304256882809,0.235965854485839,0.229803832890497,0.0482220589066652,0.1027192040251,0.117982927242919,0.332183843066312,0.218045112781955
24,"human",129,5,"rlog","none","pearson",0.105647567122724,0.239790145046806,0.246682440078181,0.0207797551692213,0.0731406233926551,0.0967493056269931,0.375270033947125,0.290299351918527
25,"human",113,14,"rlog","none","pearson",0.151282205272957,0.249054110864212,0.257462014293436,0.0449222268932797,0.093087502252117,0.118551438352051,0.384781694793106,0.301363281484596
26,"human",111,8,"rlog","none","pearson",0.134737417943107,0.192122538293217,0.213129102844639,0.0361050328227571,0.0638949671772429,0.0974835886214442,0.362472647702407,0.264660831509847
27,"human",98,8,"rlog","none","pearson",0.124132450331126,0.194860927152318,0.197509933774834,0.0380397350993378,0.0689801324503311,0.0873112582781457,0.433271523178808,0.312900662251656
